iteration|level|ip_address|response_time|country|region|city|longitude|latitude|isp|org
8|8|205.197.180.54|24.827 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
8|9|216.239.51.53|24.335 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
8|10|66.249.94.20|62.856 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
8|11|216.239.51.243|26.962 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
8|12|209.85.142.140|23.043 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
8|13|64.233.175.12|40.648 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
8|14|209.85.248.53|24.545 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
8|15|74.125.21.139|41.965 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
9|1|192.168.0.1|1.916 ms|||||||
9|2|174.111.102.226|38.889 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
9|3|24.25.62.50|11.411 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
9|4|24.93.67.202|20.501 ms|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable
9|5|24.93.64.186|23.053 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
9|6|66.109.6.82|26.978 ms|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable
9|7|205.197.180.41|33.956 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
9|8|205.197.180.54|25.004 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
9|9|216.239.51.47|24.005 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
9|10|216.239.51.53|23.159 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
9|11|66.249.94.20|40.563 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
9|12|209.85.142.140|20.325 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
9|13|108.170.232.71|22.864 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
9|14|209.85.142.153|24.385 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
