ip_address|country|region|city|longitude|latitude|isp|org|level
209.85.241.71|United States|CA|Mountain View|-122.085|37.4229|Google|Google|21
216.58.218.14|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|22
108.170.232.70|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|16
209.85.248.53|United States|CA|Mountain View|-122.085|37.4229|Google|Google|16
74.125.21.101|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|17
209.85.142.140|United States|CA|Mountain View|-122.085|37.4229|Google|Google|11
216.239.56.164|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|14
209.85.253.3|United States|CA|Mountain View|-122.085|37.4229|Google|Google|15
209.85.254.107|United States|CA|Mountain View|-122.085|37.4229|Google|Google|16
209.85.247.150|United States|CA|Mountain View|-122.085|37.4229|Google|Google|15
209.85.142.149|United States|CA|Mountain View|-122.085|37.4229|Google|Google|16
209.85.142.153|United States|CA|Mountain View|-122.085|37.4229|Google|Google|17
64.233.175.12|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|18
74.125.21.101|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|19
216.239.56.164|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|15
216.239.56.166|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|16
209.85.254.107|United States|CA|Mountain View|-122.085|37.4229|Google|Google|17
209.85.248.53|United States|CA|Mountain View|-122.085|37.4229|Google|Google|15
64.233.175.12|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|16
216.239.56.166|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|17
74.125.21.101|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|18
216.239.51.245|United States|LA|Sulphur|-93.4063|30.2585|Google|Google|12
209.85.143.193|United States|CA|Mountain View|-122.085|37.4229|Google|Google|13
209.85.142.157|United States|CA|Mountain View|-122.085|37.4229|Google|Google|14
173.194.219.113|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|15
209.85.244.218|United States|CA|Mountain View|-122.085|37.4229|Google|Google|11
216.239.56.164|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|13
74.125.21.113|United States|CA|Mountain View|-122.0574|37.4192|Google|Google|15
209.85.254.107|United States|CA|Mountain View|-122.085|37.4229|Google|Google|13
209.85.253.3|United States|CA|Mountain View|-122.085|37.4229|Google|Google|14
